Numéro;Heure;Pos_X_centrale;Pos_Y_centrale;Pos_Z_centrale;Angle_X_centrale;Angle_Y_centrale;Angle_Z_centrale
;x10 µs;m;m;m;rad;rad;rad
141;11509400;32585;32882;33749;11;22;33;
142;11591800;32586;32861;33749;11;22;33;
143;11674200;32586;32861;33749;11;22;33;
144;11756600;32585;32967;33749;11;22;33;
145;11839200;32586;32870;33749;11;22;33;
146;11846600;32586;32870;33749;11;22;33;
147;11853900;32585;32870;33749;11;22;33;
148;11936500;32586;32859;33749;11;22;33;
149;12019100;32586;32859;33749;11;22;33;
150;12101500;32586;32859;33749;11;22;33;
151;12183700;32586;32859;33749;11;22;33;
152;12191100;32587;32861;33749;11;22;33;
153;12273700;32585;32867;33749;11;22;33;
154;12281100;32585;32867;33749;11;22;33;
155;12363500;32586;32867;33749;11;22;33;
156;12446000;32586;32865;33749;11;22;33;
157;12528400;32586;32865;33749;11;22;33;
158;12610800;32711;32863;33749;11;22;33;
159;12693300;32711;32863;33749;11;22;33;
160;12775500;32586;32866;33749;11;22;33;
161;12858100;51019;32865;33749;11;22;33;
162;12940600;51019;32865;33749;11;22;33;
163;13023000;32586;32967;33749;11;22;33;
164;13105500;32587;32864;33749;11;22;33;
165;13188000;32587;32864;33749;11;22;33;
166;13270400;32586;32867;33749;11;22;33;
167;13352800;32586;32867;33749;11;22;33;
168;13435200;32585;32865;33749;11;22;33;
169;13442600;32585;32865;33749;11;22;33;
170;13449900;32585;32864;33749;11;22;33;
171;13532500;32585;32864;33749;11;22;33;
172;13615100;32594;32862;33749;11;22;33;
173;13697600;32594;32862;33749;11;22;33;
174;13780000;32594;32870;33749;11;22;33;
175;13862500;32594;32870;33749;11;22;33;
176;13944800;32582;32864;33749;11;22;33;
177;14027400;32582;32865;33749;11;22;33;
178;14110000;32582;32865;33749;11;22;33;
179;14192300;32586;32863;33749;11;22;33;
180;14274700;32587;32870;33749;11;22;33;
181;14357300;32587;32870;33749;11;22;33;
182;14439600;32581;32861;33749;11;22;33;
183;14522100;32581;32861;33749;11;22;33;
184;14604400;32589;32858;33749;11;22;33;
185;14687000;32589;32858;33749;11;22;33;
186;14769400;32589;32858;33749;11;22;33;
187;14851700;32521;32885;33749;11;22;33;
188;14934100;32603;32844;33749;11;22;33;
189;15016700;32603;32844;33749;11;22;33;
190;15099100;32575;32873;33749;11;22;33;
191;15106500;32575;32873;33749;11;22;33;
192;15113900;32585;32852;33749;11;22;33;
193;15196400;32585;32868;33749;11;22;33;
194;15279000;32585;32868;33749;11;22;33;
195;15361400;32579;32860;33749;11;22;33;
196;15368800;32575;32862;33749;11;22;33;
197;15376200;32575;32862;33749;11;22;33;
198;15458600;51007;32862;33749;11;22;33;
199;15541200;51007;32862;33749;11;22;33;
200;15623600;51007;32862;33749;11;22;33;
201;15706000;32570;32857;33749;11;22;33;
202;15788600;32570;32857;33749;11;22;33;
203;15871000;32570;32857;33749;11;22;33;
204;15953400;32571;32865;33749;11;22;33;
205;16035900;32571;32865;33749;11;22;33;
206;16118300;32571;32865;33749;11;22;33;
207;16200700;32571;32865;33749;11;22;33;
208;16283100;32573;32857;33749;11;22;33;
209;16365700;48958;32872;33749;11;22;33;
210;16448100;48958;32872;33749;11;22;33;
211;16530500;32577;32858;33749;11;22;33;
212;16613000;32573;32861;33749;11;22;33;
213;16695400;32573;32861;33749;11;22;33;
214;16777800;32572;32864;33749;11;22;33;
215;16860300;32572;32864;33749;11;22;33;
216;16942600;32574;32859;33749;11;22;33;
217;17025000;32574;32862;33749;11;22;33;
218;17107400;32574;32862;33749;11;22;33;
219;17189800;32573;32862;33749;11;22;33;
220;17272300;32574;32860;33749;11;22;33;
221;17279800;32574;32860;33749;11;22;33;
222;17362100;32574;32860;33749;11;22;33;
223;17444700;32574;32860;33749;11;22;33;
224;17527000;32711;32859;33749;11;22;33;
225;17609400;32573;32861;33749;11;22;33;
226;17616800;32573;32861;33749;11;22;33;
227;17699200;32573;32861;33749;11;22;33;
228;17781800;32574;32877;33749;11;22;33;
229;17864300;32574;32877;33749;11;22;33;
230;17946700;32595;32845;33749;11;22;33;
231;18029200;32595;32845;33749;11;22;33;
232;18111600;32522;32878;33749;11;22;33;
233;18194100;32558;32861;51157;11;22;33;
234;18276700;32558;32861;51157;11;22;33;
235;18358900;51005;32859;33749;11;22;33;
236;18441500;32571;32863;33749;11;22;33;
237;18523900;32571;32863;33749;11;22;33;
238;18606200;32570;32864;33749;11;22;33;
239;18688800;32570;32864;33749;11;22;33;
240;18771100;32571;32866;33749;11;22;33;
241;18853600;32572;32866;33749;11;22;33;
242;18936100;32572;32866;33749;11;22;33;
243;19018300;32570;32868;33749;11;22;33;
244;19100700;32570;32869;33749;11;22;33;
245;19183300;32570;32869;33749;11;22;33;
246;19190600;32570;32865;33749;11;22;33;
247;19198100;32570;32865;33749;11;22;33;
248;19280500;32570;32864;33749;11;22;33;
249;19362900;32550;32862;33749;11;22;33;
250;19445500;32550;32862;33749;11;22;33;
251;19527800;51054;32860;33735;11;22;33;
252;19610400;32579;32867;33749;11;22;33;
253;19692900;32579;32867;33749;11;22;33;
254;19775100;32559;32863;33749;11;22;33;
255;19857700;32559;32863;33749;11;22;33;
256;19940100;32626;32869;33749;11;22;33;
257;20022600;32533;32868;33749;11;22;33;
258;20105100;32533;32868;33749;11;22;33;
259;20187500;32578;32870;33735;11;22;33;
260;20270100;32575;32864;33749;11;22;33;
261;20352700;32575;32864;33749;11;22;33;
262;20435000;32569;32856;33749;11;22;33;
263;20517500;32569;32856;33749;11;22;33;
264;20599800;32573;32862;33749;11;22;33;
265;20682400;32573;32862;33749;11;22;33;
266;20689800;32573;32862;33749;11;22;33;
267;20772200;32573;32862;33749;11;22;33;
268;20854400;32576;32869;33749;11;22;33;
269;20937000;32576;32869;33749;11;22;33;
270;21019300;32572;32868;33749;11;22;33;
271;21101900;32572;32868;33749;11;22;33;
272;21184200;32574;32879;33749;11;22;33;
273;21266700;32572;32842;51157;11;22;33;
274;21349200;32572;32842;51157;11;22;33;
275;21431600;32577;32888;33749;11;22;33;
