Numéro;Heure;Pos_X_centrale;Pos_Y_centrale;Pos_Z_centrale;Angle_X_centrale;Angle_Y_centrale;Angle_Z_centrale
;x10 µs;m;m;m;rad;rad;rad
611;47636100;32574;32868;33749;11;22;33;
612;47718700;32574;32869;33749;11;22;33;
613;47801300;32574;32869;33749;11;22;33;
614;47883700;32701;32867;33749;11;22;33;
615;47966200;32701;32867;33749;11;22;33;
616;48048700;32573;32868;33749;11;22;33;
617;48131300;32573;32868;33749;11;22;33;
618;48213800;32573;32868;33749;11;22;33;
619;48296200;32572;32868;33749;11;22;33;
620;48378800;32575;51043;33749;11;22;33;
621;48461200;32575;51043;33749;11;22;33;
622;48543600;32573;32869;33735;11;22;33;
623;48626200;32573;32869;33735;11;22;33;
624;48708600;32573;32868;33749;11;22;33;
625;48791300;32573;32868;33749;11;22;33;
626;48873600;32573;32868;33749;11;22;33;
627;48956000;32574;32868;33749;11;22;33;
628;49038500;32573;32868;33749;11;22;33;
629;49121100;32573;32868;33749;11;22;33;
630;49203300;51005;32867;33749;11;22;33;
631;49285800;51005;32867;33749;11;22;33;
632;49368200;32572;32868;33749;11;22;33;
633;49450700;51005;32868;33749;11;22;33;
634;49533300;51005;32868;33749;11;22;33;
635;49615500;32574;32868;33749;11;22;33;
636;49698100;32711;32868;33749;11;22;33;
637;49780500;32711;32868;33749;11;22;33;
638;49862900;32572;32868;33749;11;22;33;
639;49945400;32572;32868;33749;11;22;33;
640;50027600;32573;32868;33749;11;22;33;
641;50035100;32572;32967;33749;11;22;33;
642;50042500;32572;32967;33749;11;22;33;
643;50124900;32572;32868;33749;11;22;33;
644;50207400;32573;32868;33749;11;22;33;
645;50290000;32573;32868;33749;11;22;33;
646;50372300;32571;32868;33735;11;22;33;
647;50454900;32571;32868;33735;11;22;33;
648;50537300;51004;32867;33749;11;22;33;
649;50619700;32573;32867;33749;11;22;33;
650;50702300;32573;32867;33749;11;22;33;
651;50784600;32572;32868;33749;11;22;33;
652;50867200;32573;32868;33749;11;22;33;
653;50949800;32573;32868;33749;11;22;33;
654;51032200;32572;32868;33749;11;22;33;
655;51114700;32572;32868;33749;11;22;33;
656;51197100;32572;32868;33749;11;22;33;
657;51279700;32573;32868;33749;11;22;33;
658;51362100;32573;32868;33749;11;22;33;
659;51444400;32573;32868;33749;11;22;33;
660;51526800;32573;32868;33749;11;22;33;
661;51609300;32573;32868;33749;11;22;33;
662;51691700;32573;32868;33749;11;22;33;
663;51774100;32573;32868;33749;11;22;33;
664;51856500;32572;32868;33749;11;22;33;
665;51939100;32573;32868;33749;11;22;33;
666;52021600;32573;32868;33749;11;22;33;
667;52104000;32573;32868;33749;11;22;33;
668;52186600;32572;32868;33749;11;22;33;
669;52269100;32572;32868;33749;11;22;33;
670;52351400;32573;32868;33749;11;22;33;
671;52433800;32573;32868;33749;11;22;33;
672;52516200;32573;32868;33749;11;22;33;
673;52598800;32573;32868;51157;11;22;33;
674;52681400;32573;32868;51157;11;22;33;
675;52763800;32573;32868;33749;11;22;33;
676;52846400;32572;32868;33749;11;22;33;
677;52928900;32572;32868;33749;11;22;33;
678;53011300;32574;32867;33749;11;22;33;
679;53093900;32574;32867;33749;11;22;33;
680;53176200;32573;32867;33749;11;22;33;
681;53258800;32572;32867;33749;11;22;33;
682;53341300;32572;32867;33749;11;22;33;
683;53423600;32573;32867;33749;11;22;33;
684;53506100;32573;32868;51157;11;22;33;
685;53588600;32573;32868;51157;11;22;33;
686;53670800;32573;32868;33749;11;22;33;
687;53753400;32573;32868;33749;11;22;33;
688;53835800;32572;32867;33749;11;22;33;
689;53918300;32572;32867;33749;11;22;33;
690;54000600;32572;32867;33749;11;22;33;
691;54083000;32573;32868;33749;11;22;33;
692;54165600;32573;32868;33749;11;22;33;
693;54248000;32573;32868;33749;11;22;33;
694;54330400;32573;32868;33749;11;22;33;
695;54337800;32573;32868;33749;11;22;33;
696;54420200;32573;32868;33749;11;22;33;
697;54502800;32573;32868;33749;11;22;33;
698;54585400;32573;32868;33749;11;22;33;
699;54667600;32573;32868;33749;11;22;33;
700;54750100;32573;32868;33749;11;22;33;
701;54832600;32573;32868;33749;11;22;33;
702;54915000;32573;32867;33749;11;22;33;
703;54997500;32573;32867;33749;11;22;33;
704;55004900;32572;32867;33749;11;22;33;
705;55012300;32572;32867;33749;11;22;33;
706;55094900;32572;32867;33749;11;22;33;
707;55177300;32572;32868;33749;11;22;33;
708;55259800;32572;32868;33749;11;22;33;
709;55342200;32572;32868;33749;11;22;33;
710;55424600;32572;32867;33749;11;22;33;
711;55507100;32572;32867;33749;11;22;33;
712;55589400;32573;32868;33749;11;22;33;
713;55671900;32573;32867;33749;11;22;33;
714;55754500;32573;32867;33749;11;22;33;
715;55836900;32573;32868;33735;11;22;33;
716;55919400;32573;32867;33749;11;22;33;
717;56001800;32573;32867;33749;11;22;33;
718;56084300;32572;32868;33749;11;22;33;
719;56166800;32572;32868;33749;11;22;33;
720;56249300;32572;32868;33749;11;22;33;
721;56331900;32572;32867;33749;11;22;33;
722;56414400;32572;32867;33749;11;22;33;
723;56496800;32573;32868;33749;11;22;33;
724;56579300;32573;32868;33749;11;22;33;
725;56661800;32573;32868;33749;11;22;33;
726;56744200;32573;32868;33749;11;22;33;
727;56826700;32573;32868;33749;11;22;33;
728;56909000;32573;32868;33749;11;22;33;
729;56991600;32572;32868;33749;11;22;33;
730;57074200;32572;32868;33749;11;22;33;
731;57156600;32573;32868;33749;11;22;33;
732;57239200;32573;32868;33749;11;22;33;
733;57321800;32573;32868;33749;11;22;33;
734;57404100;32571;32868;33749;11;22;33;
735;57486700;32571;32868;33749;11;22;33;
736;57569000;32573;32867;33749;11;22;33;
737;57651600;32574;32867;33749;11;22;33;
738;57734000;32574;32867;33749;11;22;33;
739;57816400;32574;32868;33749;11;22;33;
740;57898900;32573;32867;33749;11;22;33;
741;57981500;32573;32867;33749;11;22;33;
742;58063900;32573;32867;33749;11;22;33;
743;58146400;32573;32867;33749;11;22;33;
744;58228800;32572;32868;33749;11;22;33;
745;58311400;32573;32868;33749;11;22;33;
746;58394000;32573;32868;33749;11;22;33;
747;58476400;32573;32868;33749;11;22;33;
748;58558600;32572;32867;33749;11;22;33;
749;58641200;32572;32867;33749;11;22;33;
750;58723600;32573;32868;33749;11;22;33;
751;58806200;32573;32868;33749;11;22;33;
752;58888600;32573;32867;33749;11;22;33;
753;58971200;32573;32867;33749;11;22;33;
754;59053700;32573;32867;33749;11;22;33;
755;59136100;32573;32867;33749;11;22;33;
756;59143400;32573;32867;33749;11;22;33;
757;59150800;32573;32867;33749;11;22;33;
758;59233200;32573;32867;33749;11;22;33;
759;59240600;32573;32867;33749;11;22;33;
760;59323100;51005;32868;33749;11;22;33;
761;59405700;32573;32869;33749;11;22;33;
762;59488100;32573;32869;33749;11;22;33;
763;59570500;32573;32868;33749;11;22;33;
764;59653100;32573;32867;33749;11;22;33;
765;59735500;32573;32867;33749;11;22;33;
766;59817900;32572;32868;33749;11;22;33;
767;59900500;32572;32868;33749;11;22;33;
768;59982900;32574;32868;33749;11;22;33;
769;60065300;32573;32868;33749;11;22;33;
770;60147900;32573;32868;33749;11;22;33;
771;60230300;48956;32867;33749;11;22;33;
772;60312900;32572;32867;33749;11;22;33;
773;60395500;32572;32867;33749;11;22;33;
774;60477900;32572;32868;33749;11;22;33;
775;60485300;32572;32868;33749;11;22;33;
776;60492600;32574;32869;33749;11;22;33;
777;60575200;32573;32868;33749;11;22;33;
778;60657800;32573;32868;33749;11;22;33;
779;60740200;32572;32867;33749;11;22;33;
780;60822800;32573;32867;33749;11;22;33;
781;60905400;32573;32867;33749;11;22;33;
782;60987800;32573;32869;33749;11;22;33;
783;60995200;32573;32869;33749;11;22;33;
784;61002500;32573;32868;33749;11;22;33;
785;61085200;32573;32868;33749;11;22;33;
786;61167600;32573;32868;33749;11;22;33;
787;61250000;32571;32867;33749;11;22;33;
788;61332500;32572;32868;33749;11;22;33;
789;61415100;32572;32868;33749;11;22;33;
790;61497500;32574;32868;33749;11;22;33;
791;61580000;32574;32868;33749;11;22;33;
792;61587300;32573;32867;33749;11;22;33;
793;61594800;32573;32867;33749;11;22;33;
794;61677100;32573;32867;33749;11;22;33;
795;61759500;32573;32868;33749;11;22;33;
796;61842100;32573;32868;33749;11;22;33;
797;61924600;32573;32868;33749;11;22;33;
798;62007000;32572;32868;33749;11;22;33;
799;62089500;32572;32868;33749;11;22;33;
800;62171900;32572;51044;51157;11;22;33;
801;62254300;32573;32867;33749;11;22;33;
802;62336900;32573;32867;33749;11;22;33;
803;62419200;32574;32867;33749;11;22;33;
804;62501600;32572;32868;33749;11;22;33;
805;62584200;32572;32868;33749;11;22;33;
806;62666600;32574;32867;33749;11;22;33;
807;62749200;32574;32867;33749;11;22;33;
808;62831600;32571;32869;33749;11;22;33;
809;62914200;32571;32869;33749;11;22;33;
810;62996800;32571;32869;33749;11;22;33;
811;63079200;32574;32867;33749;11;22;33;
812;63161800;32574;32867;33749;11;22;33;
813;63244200;32574;32867;33749;11;22;33;
814;63326500;32575;32867;33749;11;22;33;
815;63409100;32575;32867;33749;11;22;33;
816;63491600;32572;32868;33749;11;22;33;
817;63574100;32572;32967;33749;11;22;33;
818;63656700;32572;32967;33749;11;22;33;
819;63739100;32573;32867;33749;11;22;33;
820;63821700;32572;32869;33749;11;22;33;
821;63904300;32572;32869;33749;11;22;33;
822;63986700;32573;32868;33749;11;22;33;
823;64069300;32573;32868;33749;11;22;33;
824;64151500;32572;32868;33749;11;22;33;
825;64234100;32573;32868;33735;11;22;33;
826;64316700;32573;32868;33735;11;22;33;
827;64399200;32573;32868;33749;11;22;33;
828;64481800;32711;32868;33749;11;22;33;
829;64564400;32711;32868;33749;11;22;33;
830;64646700;32575;32867;33749;11;22;33;
831;64729100;32575;32867;33749;11;22;33;
832;64811600;32572;32869;33749;11;22;33;
833;64894200;32579;32869;33749;11;22;33;
834;64976700;32579;32869;33749;11;22;33;
835;65059000;32585;32868;33749;11;22;33;
836;65141600;32574;32868;33749;11;22;33;
837;65224200;32574;32868;33749;11;22;33;
838;65306700;32576;32867;33749;11;22;33;
839;65389300;32576;32867;33749;11;22;33;
840;65471700;32568;32868;33749;11;22;33;
841;65554400;32601;32866;33749;11;22;33;
842;65636900;32601;32866;33749;11;22;33;
0;112800;256;15;65535;11;22;33;
1;194900;32570;32866;33749;11;22;33;
2;277500;32570;32866;33749;11;22;33;
3;359700;32564;32866;33749;11;22;33;
4;442100;32564;32866;33749;11;22;33;
5;524300;32565;32868;33749;11;22;33;
6;606900;32565;32868;33749;11;22;33;
7;689300;32565;32868;33749;11;22;33;
8;771600;32571;32868;33749;11;22;33;
9;854000;32577;32867;33749;11;22;33;
10;936400;32577;32867;33749;11;22;33;
11;1018800;32577;32867;33749;11;22;33;
12;1026200;32577;32867;33749;11;22;33;
13;1108500;32575;32875;33749;11;22;33;
14;1115900;32560;32871;33749;11;22;33;
15;1198400;32560;32871;33749;11;22;33;
16;1280700;32564;32867;33749;11;22;33;
17;1363200;32577;32870;33749;11;22;33;
18;1445700;32577;32870;33749;11;22;33;
19;1527900;32576;32867;33749;11;22;33;
20;1610500;32576;32867;33749;11;22;33;
21;1617800;32575;32867;33749;11;22;33;
22;1700400;32568;32866;33749;11;22;33;
23;1782900;32568;32866;33749;11;22;33;
24;1865100;32578;32867;33749;11;22;33;
25;1947700;32578;32867;33749;11;22;33;
26;2030000;32578;32867;33749;11;22;33;
27;2112300;32578;32967;33749;11;22;33;
28;2194700;32578;32967;33749;11;22;33;
29;2277100;32578;32967;33749;11;22;33;
30;2359400;32575;32868;33749;11;22;33;
31;2442000;32575;32868;33749;11;22;33;
32;2524300;32575;32868;33749;11;22;33;
33;2606800;32573;32868;33749;11;22;33;
34;2689300;32573;32868;33749;11;22;33;
35;2771500;32573;32868;33749;11;22;33;
36;2778900;32573;32868;33749;11;22;33;
37;2786200;32573;32868;51157;11;22;33;
38;2868800;32573;32867;33749;11;22;33;
39;2876300;32573;32867;33749;11;22;33;
40;2883600;32574;32867;33749;11;22;33;
41;2891000;32572;32869;33749;11;22;33;
42;2973500;32572;32869;33749;11;22;33;
43;3055900;32573;32868;33749;11;22;33;
44;3138300;32573;32868;33749;11;22;33;
45;3220500;32574;32868;33749;11;22;33;
46;3303100;32577;32870;33735;11;22;33;
47;3385600;32577;32870;33735;11;22;33;
48;3467900;32575;32869;33749;11;22;33;
49;3550400;32575;32868;33749;11;22;33;
50;3632800;32575;32868;33749;11;22;33;
51;3715200;32575;32868;33749;11;22;33;
52;3797700;32575;32868;33749;11;22;33;
53;3880000;32578;32866;33749;11;22;33;
54;3962600;32573;32868;33749;11;22;33;
55;4045100;32573;32868;33749;11;22;33;
56;4127500;32574;32868;33749;11;22;33;
57;4210000;32579;32864;33749;11;22;33;
58;4292400;32579;32864;33749;11;22;33;
59;4374700;32579;32967;33749;11;22;33;
60;4457300;32579;32967;33749;11;22;33;
61;4539600;51005;32868;33749;11;22;33;
62;4622000;51005;32868;33749;11;22;33;
63;4704400;51005;32868;33749;11;22;33;
64;4786800;32572;32868;33749;11;22;33;
65;4869300;32572;32868;33749;11;22;33;
66;4951800;32572;32868;33749;11;22;33;
67;5034100;32573;32867;33749;11;22;33;
68;5116700;32573;32867;33749;11;22;33;
69;5199000;32574;32867;33749;11;22;33;
70;5281500;32574;32867;33749;11;22;33;
71;5364100;32574;32867;33749;11;22;33;
72;5446300;32573;32868;51157;11;22;33;
73;5453800;32574;32867;33749;11;22;33;
74;5461100;32574;32867;33749;11;22;33;
75;5543500;32574;32867;33749;11;22;33;
76;5626100;32574;32867;33749;11;22;33;
77;5708400;32574;32868;33749;11;22;33;
78;5790900;32573;32869;33749;11;22;33;
79;5873400;32573;32869;33749;11;22;33;
80;5955800;32574;32868;33749;11;22;33;
81;6038300;32574;51044;33749;11;22;33;
82;6120700;32574;51044;33749;11;22;33;
83;6203100;32575;32867;33749;11;22;33;
84;6285600;32575;32867;33749;11;22;33;
85;6368000;32574;32868;33749;11;22;33;
86;6450500;32574;32867;33749;11;22;33;
87;6533100;32574;32867;33749;11;22;33;
88;6615400;32574;32868;33749;11;22;33;
89;6698000;32574;32868;33749;11;22;33;
90;6780500;32574;32868;33749;11;22;33;
91;6862900;32574;32867;33749;11;22;33;
92;6945400;32574;32867;33749;11;22;33;
93;7027600;51005;32867;33749;11;22;33;
94;7110300;51005;32867;33749;11;22;33;
95;7192700;51005;32867;33749;11;22;33;
96;7274900;32574;32868;33749;11;22;33;
97;7357400;32575;32867;33749;11;22;33;
98;7440000;32575;32867;33749;11;22;33;
99;7522400;32575;32867;33749;11;22;33;
100;7604900;32575;32867;33749;11;22;33;
101;7687300;32571;32869;33749;11;22;33;
102;7769900;32574;32868;51157;11;22;33;
103;7852400;32574;32868;51157;11;22;33;
104;7934700;32572;32869;33749;11;22;33;
105;8017200;32575;32866;33749;11;22;33;
106;8099800;32575;32866;33749;11;22;33;
107;8182200;32573;32868;33749;11;22;33;
108;8264700;32573;32868;33749;11;22;33;
109;8347100;32575;32867;33749;11;22;33;
110;8429600;32576;32868;33749;11;22;33;
111;8512100;32576;32868;33749;11;22;33;
112;8594500;32576;32868;33749;11;22;33;
113;8676900;32574;32867;33749;11;22;33;
114;8759200;32574;32867;33749;11;22;33;
115;8841600;32574;32869;33749;11;22;33;
116;8849000;32574;32869;33749;11;22;33;
117;8931400;32574;32868;33749;11;22;33;
118;9013900;32573;32868;33749;11;22;33;
119;9096500;32573;32868;33749;11;22;33;
120;9178900;32575;32868;33749;11;22;33;
121;9261200;32573;32867;33749;11;22;33;
122;9343800;32573;32867;33749;11;22;33;
123;9426100;32575;32869;33749;11;22;33;
124;9508500;32575;32869;33749;11;22;33;
125;9590900;32575;32869;33749;11;22;33;
126;9673300;32573;32868;33749;11;22;33;
127;9755800;32573;32868;33749;11;22;33;
128;9838200;32574;32867;33749;11;22;33;
129;9920700;32574;32868;33749;11;22;33;
130;10003300;32574;32868;33749;11;22;33;
131;10085600;32574;32867;33749;11;22;33;
132;10093100;32574;32867;33749;11;22;33;
133;10175400;32574;32868;33749;11;22;33;
134;10257900;32574;32869;33749;11;22;33;
135;10340400;32574;32869;33749;11;22;33;
136;10422800;32573;32869;33749;11;22;33;
137;10505300;32575;32868;33749;11;22;33;
138;10587800;32575;32868;33749;11;22;33;
139;10670200;32575;32868;33749;11;22;33;
140;10752800;32575;32868;33749;11;22;33;
141;10835000;32575;32967;33749;11;22;33;
142;10917500;32575;32868;33749;11;22;33;
143;11000000;32575;32868;33749;11;22;33;
144;11082300;32576;32868;33749;11;22;33;
145;11164700;32575;32868;33749;11;22;33;
146;11247300;32575;32868;33749;11;22;33;
147;11329500;32574;32868;33749;11;22;33;
148;11412000;32574;32868;33749;11;22;33;
149;11494400;32575;32967;33749;11;22;33;
150;11577000;32575;32867;33735;11;22;33;
151;11659400;32575;32867;33735;11;22;33;
152;11741700;32575;32869;33749;11;22;33;
153;11824300;32576;32869;33749;11;22;33;
154;11906800;32576;32869;33749;11;22;33;
155;11989200;32574;32867;33749;11;22;33;
156;12071600;32574;32867;33749;11;22;33;
157;12154000;32576;32868;33749;11;22;33;
158;12236600;32577;32867;33749;11;22;33;
159;12319200;32577;32867;33749;11;22;33;
160;12401400;32572;32868;33749;11;22;33;
161;12484000;32574;51045;33749;11;22;33;
162;12566400;32574;51045;33749;11;22;33;
163;12573700;32573;32868;33749;11;22;33;
164;12581100;32573;32868;33749;11;22;33;
165;12588500;32574;32868;33749;11;22;33;
166;12671000;32574;32867;33749;11;22;33;
167;12753600;32574;32867;33749;11;22;33;
168;12835900;32575;32868;33749;11;22;33;
169;12918500;32576;32868;33749;11;22;33;
170;13000900;32576;32868;33749;11;22;33;
171;13083200;32575;32867;33749;11;22;33;
172;13165700;32575;32867;33749;11;22;33;
173;13248000;32580;32967;33749;11;22;33;
174;13330500;32578;32869;33749;11;22;33;
175;13412900;32578;32869;33749;11;22;33;
176;13495300;32575;32868;33749;11;22;33;
177;13577900;32572;32868;33749;11;22;33;
178;13660400;32572;32868;33749;11;22;33;
179;13742800;32574;32967;33749;11;22;33;
180;13825400;32574;32967;33749;11;22;33;
181;13907800;32576;32869;33749;11;22;33;
182;13990200;32574;32868;33749;11;22;33;
183;14072800;32574;32868;33749;11;22;33;
184;14155200;32575;32867;33749;11;22;33;
185;14237600;32575;32868;33749;11;22;33;
186;14320100;32575;32868;33749;11;22;33;
187;14402300;32574;32868;33749;11;22;33;
188;14409700;32574;32868;33749;11;22;33;
189;14417100;32575;32868;33749;11;22;33;
190;14499700;32575;32867;33749;11;22;33;
191;14582200;32575;32867;33749;11;22;33;
192;14664600;32575;32867;33749;11;22;33;
193;14746900;32574;32869;33749;11;22;33;
194;14829300;32574;32869;33749;11;22;33;
195;14911700;32575;32867;33749;11;22;33;
196;14994100;32575;32867;33749;11;22;33;
197;15076400;32573;32867;33749;11;22;33;
198;15158900;32574;32868;33749;11;22;33;
199;15241500;32574;32868;33749;11;22;33;
200;15323900;32575;32868;33749;11;22;33;
201;15406300;32574;32867;33749;11;22;33;
202;15488900;32574;32867;33749;11;22;33;
203;15571300;32574;32868;33749;11;22;33;
204;15653700;32574;32868;33749;11;22;33;
205;15735900;32574;32867;33749;11;22;33;
206;15743400;32574;32867;33749;11;22;33;
207;15825900;32574;32867;33749;11;22;33;
208;15833200;32573;32868;33749;11;22;33;
209;15915800;32574;32869;33749;11;22;33;
210;15998400;32574;32869;33749;11;22;33;
211;16080800;32574;32868;33749;11;22;33;
212;16163200;32574;32868;33749;11;22;33;
213;16245600;32575;32868;33749;11;22;33;
214;16328200;32574;32868;33749;11;22;33;
215;16410800;32574;32868;33749;11;22;33;
216;16493000;32574;32867;33749;11;22;33;
217;16500500;32574;32868;33749;11;22;33;
218;16507900;32574;32868;33749;11;22;33;
219;16590200;32574;32868;33749;11;22;33;
220;16672700;32574;32868;33749;11;22;33;
221;16754900;32574;32867;33749;11;22;33;
222;16837500;32574;32868;33749;11;22;33;
224;17002200;32575;32868;33749;11;22;33;
225;17084800;32574;32868;33749;11;22;33;
226;17167300;32574;32868;33749;11;22;33;
227;17249700;32575;32867;33749;11;22;33;
228;17332100;32575;32867;33749;11;22;33;
229;17414500;32574;32868;33749;11;22;33;
230;17497000;32574;32868;33749;11;22;33;
231;17579500;32574;32868;33749;11;22;33;
232;17661700;32574;32869;33749;11;22;33;
233;17744300;32574;32868;51157;11;22;33;
234;17826800;32574;32868;51157;11;22;33;
235;17909200;51006;32868;33735;11;22;33;
236;17991600;51006;32868;33735;11;22;33;
237;18074000;32574;32868;33749;11;22;33;
238;18156600;32574;32868;33749;11;22;33;
239;18239000;32574;32868;33749;11;22;33;
240;18321400;32574;32868;33749;11;22;33;
241;18403800;32574;32868;33749;11;22;33;
242;18411200;32574;32868;33749;11;22;33;
243;18493600;32574;32868;33749;11;22;33;
244;18501000;32574;32868;33749;11;22;33;
245;18583400;32574;32868;33749;11;22;33;
246;18665800;32574;32868;33749;11;22;33;
247;18748300;32574;32868;33749;11;22;33;
248;18755700;32574;32868;33749;11;22;33;
249;18763100;32574;32867;33749;11;22;33;
250;18770500;32574;32867;33749;11;22;33;
251;18852800;32574;32867;33749;11;22;33;
252;18935400;32574;32867;33749;11;22;33;
253;19017800;32574;51044;33749;11;22;33;
254;19100300;32574;32867;33749;11;22;33;
255;19182900;32574;32867;33749;11;22;33;
256;19265200;32573;32868;33749;11;22;33;
257;19347800;32574;32868;33749;11;22;33;
258;19430200;32574;32868;33749;11;22;33;
259;19512600;32574;32868;33749;11;22;33;
260;19520000;32574;32868;33749;11;22;33;
261;19602400;32573;32868;33749;11;22;33;
262;19684900;32575;32867;33749;11;22;33;
263;19767500;32575;32867;33749;11;22;33;
264;19849700;32575;32867;33749;11;22;33;
265;19932300;32575;32867;33749;11;22;33;
266;20014900;32575;32867;33749;11;22;33;
267;20097200;32575;32868;33749;11;22;33;
268;20179600;32575;32868;33749;11;22;33;
269;20262000;32573;32868;33749;11;22;33;
270;20344600;32573;32868;33749;11;22;33;
271;20427100;32573;32868;33749;11;22;33;
272;20509500;32574;32868;33749;11;22;33;
273;20592000;32575;32868;33749;11;22;33;
274;20674500;32575;32868;33749;11;22;33;
275;20756900;32574;32868;33749;11;22;33;
276;20839400;32574;32868;33749;11;22;33;
277;20921800;32575;32868;33749;11;22;33;
278;21004200;32574;32867;33749;11;22;33;
279;21086700;32574;32867;33749;11;22;33;
280;21169100;32574;32868;33749;11;22;33;
281;21251700;32575;32867;33749;11;22;33;
282;21334200;32575;32867;33749;11;22;33;
283;21416600;32574;32868;33749;11;22;33;
284;21499200;32574;32868;33749;11;22;33;
285;21581500;32574;32868;33749;11;22;33;
286;21664100;32574;32868;33749;11;22;33;
287;21746600;32574;32868;33749;11;22;33;
288;21828800;32574;32868;33749;11;22;33;
289;21911400;32575;32868;33749;11;22;33;
290;21994000;32575;32868;33749;11;22;33;
291;22076400;32573;32868;33749;11;22;33;
292;22158900;32573;32868;33749;11;22;33;
293;22241200;51006;32868;33749;11;22;33;
294;22323700;32574;32868;33749;11;22;33;
295;22406200;32574;32868;33749;11;22;33;
296;22488500;32574;32868;33749;11;22;33;
297;22495900;32573;32868;33749;11;22;33;
298;22578500;32573;32868;33749;11;22;33;
299;22660800;32574;32868;33749;11;22;33;
300;22743400;32574;32868;33749;11;22;33;
301;22825800;32574;32868;33749;11;22;33;
302;22908300;32575;32868;33749;11;22;33;
303;22990900;32575;32868;33749;11;22;33;
304;23073300;32574;32867;33749;11;22;33;
305;23155700;32574;32868;33749;11;22;33;
306;23238200;32574;32868;33749;11;22;33;
307;23320600;32574;32868;33749;11;22;33;
308;23403200;32574;32868;33749;11;22;33;
309;23485600;32574;32867;33749;11;22;33;
310;23493100;32574;32868;33749;11;22;33;
311;23575600;32574;32868;33749;11;22;33;
312;23657800;32711;32868;33749;11;22;33;
313;23665300;32574;32867;33749;11;22;33;
314;23672700;32574;32867;33749;11;22;33;
315;23680000;32574;32868;33735;11;22;33;
316;23762500;32574;32868;33735;11;22;33;
317;23844900;32574;32868;33749;11;22;33;
318;23927400;32574;32868;33749;11;22;33;
319;24010000;32574;32868;33749;11;22;33;
320;24092400;32574;32868;33749;11;22;33;
321;24175000;32575;32869;33749;11;22;33;
322;24257500;32575;32869;33749;11;22;33;
323;24339800;32574;32868;33749;11;22;33;
324;24422400;32574;32868;33749;11;22;33;
325;24504800;32575;32868;33749;11;22;33;
326;24587300;32574;32867;33749;11;22;33;
327;24669700;32574;32867;33749;11;22;33;
328;24752100;51005;32868;33749;11;22;33;
329;24834600;32575;32868;33749;11;22;33;
330;24917000;32575;32868;33749;11;22;33;
331;24999400;32574;32869;33749;11;22;33;
332;25081800;32574;32869;33749;11;22;33;
333;25089200;32574;32869;33749;11;22;33;
334;25171700;32574;32869;33749;11;22;33;
335;25179100;32574;32869;33749;11;22;33;
336;25261500;32575;32868;33749;11;22;33;
337;25344000;32575;32868;33749;11;22;33;
338;25426500;32575;32868;33749;11;22;33;
339;25508700;32574;32868;33749;11;22;33;
340;25591300;32574;32868;33749;11;22;33;
341;25673700;32575;32869;33749;11;22;33;
342;25756200;32574;32868;33749;11;22;33;
343;25838800;32574;32868;33749;11;22;33;
344;25921200;51006;32867;33749;11;22;33;
345;26003700;32574;32868;33749;11;22;33;
346;26086200;32574;32868;33749;11;22;33;
347;26168400;51006;32868;33749;11;22;33;
348;26250800;51006;32868;33749;11;22;33;
349;26333200;32574;32868;33749;11;22;33;
350;26415800;32573;32869;33749;11;22;33;
351;26498400;32573;32869;33749;11;22;33;
352;26580800;32574;32868;33749;11;22;33;
353;26663400;32576;32868;33749;11;22;33;
354;26745900;32576;32868;33749;11;22;33;
355;26828300;32574;32868;33749;11;22;33;
356;26910800;32574;32868;33749;11;22;33;
357;26993200;32573;32868;33749;11;22;33;
358;27075600;32711;32868;33749;11;22;33;
359;27158200;32711;32868;33749;11;22;33;
360;27240600;32574;32868;33749;11;22;33;
361;27323100;32574;32868;33749;11;22;33;
362;27405700;32574;32868;33749;11;22;33;
363;27413000;32574;32868;33749;11;22;33;
364;27495600;32574;32868;33749;11;22;33;
365;27578000;51006;32869;33749;11;22;33;
366;27660600;32574;32867;33749;11;22;33;
367;27743000;32574;32867;33749;11;22;33;
368;27825400;32574;32867;33749;11;22;33;
369;27908000;32573;32868;33749;11;22;33;
370;27990500;32573;32868;33749;11;22;33;
371;28072900;32573;32868;33749;11;22;33;
372;28155500;32573;32868;33749;11;22;33;
373;28237900;32573;32868;33749;11;22;33;
374;28320400;32575;32868;33749;11;22;33;
375;28402800;32575;32868;33749;11;22;33;
376;28485200;32576;32869;33749;11;22;33;
377;28567600;32576;32869;33749;11;22;33;
378;28650000;32576;32869;33749;11;22;33;
379;28732400;32574;32867;33749;11;22;33;
380;28814900;32574;32867;33749;11;22;33;
381;28897300;32574;32868;33749;11;22;33;
382;28979900;32574;32868;33749;11;22;33;
383;29062300;32574;32868;33749;11;22;33;
384;29144700;32573;32868;33749;11;22;33;
385;29227300;32574;32867;33749;11;22;33;
386;29309800;32574;32867;33749;11;22;33;
387;29392200;32574;32868;33749;11;22;33;
388;29474700;32574;32868;33749;11;22;33;
389;29557000;32575;32868;33749;11;22;33;
390;29639600;32574;32868;33749;11;22;33;
391;29722000;32574;32868;33749;11;22;33;
392;29804400;32574;32868;33749;11;22;33;
393;29887000;32574;32868;33749;11;22;33;
394;29969600;32574;32868;33749;11;22;33;
395;30051900;32574;32868;33749;11;22;33;
396;30134500;32574;32868;33749;11;22;33;
397;30216900;32575;32869;33749;11;22;33;
398;30224400;32574;32868;33749;11;22;33;
399;30231700;32574;32868;33749;11;22;33;
400;30314100;32573;32868;33749;11;22;33;
